Include;notes_screening1;Notes;Citationkey;Author;Title;Publication Year;method_automated_measurement;method_visualization;method_automated_generation;method_agent;method_AutoQUEST;method_machine_learning;methodology;Usability dimension;Baseline;Sample Size;Notes;XR Technology;Measurement;dimension_general_usability;dimension_generalUX;dimension_presence;dimension_flow;dimension_interactability;dimension_learnability;dimension_emotions;dimension_usability_smells;dimension_stress;dimension_anxiety;dimension_ease_of_use;dimension_attention;dimension_UI;dimension_behaviour;dimension_comfort;dimension_cognitive_load;dimension_engagement;dimension_area_of_interest;dimension_realism;dimension_sentiment;dimension_physiological_arousal;dimension_physical_effort;measurement_none;measurement_heart_rate;measurement_decision_time;measurement_hand_movement;measurement_head_movement;measurement_facial_expression;measurement_scene_capture;measurement_events;measurement_EEG;measurement_EDA;measurement_EMG;measurement_body_temperature;measurement_speech;measurement_walking_speed;measurement_gaze;measurement_pupil;measurement_body_tracking;measurement_movement;measurement_respiration;measurement_pressure_load;control_measurement;control_dimension
include;Usability Evaluation nachlesen;Ergonomics as usability factor in AR;andronasSeamlessCollaborationHumans2023;"Andronas, Dionisis; Kampourakis, Emmanouil; Papadopoulos, Giorgos; Bakopoulou, Katerina; Kotsaris, Panagiotis Stylianos; Michalos, George; Makris, Sotiris";Towards seamless collaboration of humans and high-payload robots: An automotive case study;2023;x;;;;;;Ergonomics analysis through the sum of postural score, action forces score, material handling score in a simulation environment;ergonomics(quantifying the levels of discomfort and any risk of injury or long-term musculoskeletal issues);SUS ohne correlation;12;;AR;posture, loads on human limbs;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;x;1;1
include;agent based;technique proposal UX test agents als phd topic;sabagholizadehansariAutomatedAssessmentUser2020;Ansari, Saba Gholizadeh;Toward Automated Assessment of User Experience in Extended Reality;2020;;;;x;;;phd ankündigung using ’BDI’ agents framework, intelligent agents are deployed into the XR system to generate tests based on given UX test specifications.;UX Test Case generation, agent behaviour with different emotional preferences and relevant emotional states;;0;;XR;no measurement;x;;;;;;x;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;1;2
include;physiological factors;flow;bianFrameworkPhysiologicalIndicators2016;"Bian, Yulong; Yang, Chenglei; Gao, Fengqiang; Li, Huiyu; Zhou, Shisheng; Li, Hanchao; Sun, Xiaowen; Meng, Xiangxu";A framework for physiological indicators of flow in VR games: construction and preliminary evaluation;2016;x;;;;;;physiological measures;flow through: cardiovascular function, respiration, and ZM electromyography;Flow Short Scale;36;;VR;Cardiac activity, Thoracic respiration, Muscle tone;;;;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;x;;;;;;;;x;;3;1
include;Movement;sehr kleine study und nur plot vom movement keine correlation zu fragebogen;biriczUserFriendlyVirtual2022;"Biricz, Bence; Jónás, Viktor; Vincze, Miklós; Benhamida, Abdallah; Paulik, Róbert; Kozlovszky, Miklos";User friendly virtual reality software development and testing;2022;x;;;;;;Left Right Up Down Movement of Head and Hands analyzed as actions and amount of excessive movement to minimize user fatigue, UI improvemts davon abgeleitet;trying to minimize user fatigue;Questionnaire;4;;VR;Head Movement, Hand movement;x;;;;;;;;;;;;;;;;;;;;;x;;;;x;x;;;;;;;;;;;;;;;;2;2
include;physiological factors;EEG;bozgeyikliExploringHorizontallyFlipped2023;"Bozgeyikli, Lal Lila; Bozgeyikli, Evren; Schnell, Christopher; Clark, Jaclynn";Exploring Horizontally Flipped Interaction in Virtual Reality for Improving Spatial Ability;2023;x;;;;;;EEG with a Muse 2 headband and Mind Monitor App;attention and spatial ability and its cognitive load;Mental Rotation Test as baseline for spatial ability;27;;VR;EEG theta (4-8Hz) and alpha (7.5-13Hz) bands;;;;;;;;;;;;x;;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;1;2
include;Automatisierung nachlesen;ausführliches paper über fr nfr von locomotion;cannavoEvaluationTestbedLocomotion2021;"Cannavo, Alberto; Calandra, Davide; Prattico, F. Gabriele; Gatteschi, Valentina; Lamberti, Fabrizio";An Evaluation Testbed for Locomotion in Virtual Reality;2021;x;;;;;;Heart Rate and Calculations, heart rate at the start and end of  a scenario and is counted as physical effort, rest is objective performance measure;heart rate als physical effort, Accuracy, Operation Speed, Error Proneness als objective mearsures;Questionnaires as extension for subjective measuremsts;48;;VR;heart rate, gaze as accuraccy measure;;;;;;;;;;;;;;;;;;;;;;x;;x;;;;;;;;;;;;;;;;;;;1;1
include;Event-based;Correlation of events to heart beat ;cheEventBasedUserExperience2019;"Che, Xiaoping; Ma, Siqi; Yu, Qi; Yue, Chenfeng";An Event-Based User Experience Evaluation Method for Virtual Reality Applications;2019;x;;;;;;Heart Rate and Correlation To Grab, Touch Operate and move;UX;-;80;;VR;Heart Rate and Success Rate while capturing game events;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;x;;;;;;;;;;;;;2;1
include;Usability Evaluation nachlesen;nicht Usability aber User experience durch den Einfluss von crowd density;dickinsonVirtualRealityCrowd2019;"Dickinson, Patrick; Gerling, Kathrin; Hicks, Kieran; Murray, John; Shearer, John; Greenwood, Jacob";Virtual reality crowd simulation: effects of agent density on user experience and behaviour;2019;x;x;;;;;logging of position and orientation, compute mean walking speed and mean distance to an agent, creating a tracejotory map as visualization;impact of crowd density on user experience in VR settings, Proxemics of virtual agents, impedment through virtual agents, participants’ affective state;PANAS Questionnaire;25;;VR;trajectory data;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;1;1
include;physiological factors;heart beat;dollingerIfItsNot2023;"Döllinger, Nina; Beck, Matthias; Wolf, Erik; Mal, David; Botsch, Mario; Latoschik, Marc Erich; Wienrich, Carolin";“If It’s Not Me It Doesn’t Make a Difference” - The Impact of Avatar Personalization on user Experience and Body Awareness in Virtual Reality;2023;x;;;;;;HCT;interoceptive accuracy;SMS Mind Questionnaire;86;;VR;heart rate;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;1;1
include;eye tracking;;dzardanovaExploringImpactNonverbal2024;"Dzardanova, E.; Nikolakopoulou, V.; Kasapakis, V.; Vosinakis, S.; Xenakis, I.; Gavalas, D.";Exploring the impact of non-verbal cues on user experience in immersive virtual reality;2024;x;;;;;;Eye Tracking and collection of areas of interest and EDA + Heart rate monitoring;area of interest, realism, empathy and social presence;Questionnaire aber ohne große korrelation tests;40;;VR;EDA, Heart Rate, Eye Tracking;;;x;;;;;;;;;;;;;;;x;x;;;;;x;;;;;;;;x;;;;;x;;;;;;3;3
include;Usability Evaluation nachlesen;;elorBioLuminImmersiveMixed2022;"Elor, A.; Whittaker, S.; Kurniawan, S.; Michael, S.";BioLumin: An Immersive Mixed Reality Experience for Interactive Microscopic Visualization and Biomedical Research Annotation;2022;x;;;;;;loggin unity, video anlysis;Behavioral Strategies for System Usage, Engagement, Usability;SUS, Presence;19;;AR;controller pose, headset pose, model pose, total eye tracking movement, model control function usages e.g. translation rotation scale, video analysis for poses;x;;;;;;;;;;;;;x;;;x;;;;;;;;;x;x;;;x;;;;;;;x;;;;;;4;3
include;AutoQUEST;Task Trees genereted after VR usage;harmsAutomatedUsabilityEvaluation2019;Harms, Patrick;Automated Usability Evaluation of Virtual Reality Applications;2019;x;;;;x;;recordings of user actions, a subsequent generation of task trees, and the detection of five usability smells with AutoQUEST;5 different Usability Smells;Manual Inspection, Counter Evaluation, Compared 4 Interaction Modes;84;;VR;Events (5 different), Sequences, Iterations;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;1;1
include;physiological factors;EEG, head movement for correlation of viewpoint to EEG;heAmTheaterUsability2018;"He, Linjia; Li, Hongsong; Xue, Tong; Sun, Deyuan; Zhu, Shoulun; Ding, Gangyi";Am I in the theater? usability study of live performance based virtual reality;2018;x;;;;;;EEG;Engagement;TV vs VR;25;;VR;EEG, head movement;;;;;;;;;;;;;;;;;x;;;;;;;;;;x;;;;x;;;;;;;;;;;;2;1
include;physiological factors;EEG;houDevelopingVirtualReality2017;"Hou, Guanhua; Dong, Hua; Yang, Yang";Developing a Virtual Reality Game User Experience Test Method Based on EEG Signals;2017;x;;;;;;EEG in different frequency bands;usability;expert usability judging, high vs low;32;;VR;EEG in different frequency bands;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;1;1
include;head rotation frequency;;hynesQoEEvaluationAugmented2020;"Hynes, E.; Flynn, R.; Lee, B.; Murray, N.";A QoE Evaluation of an Augmented Reality Procedure Assistance Application;2020;x;;;;;;high frequency head rotation;QoE through emotions delight or annoyance;paper based alternative;48;;AR;high frequency head rotation in pitch yaw and roll directions;;;;;;;x;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;1;1
